id,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,category,difficulty_level,created_at
1346,"Which AWS service or tool simplifies the creation, maintenance, validation, sharing and deployment of Linux or Windows Server templates for use with Amazon EC2 and on premises VMs?",AWS CodePipeline,Amazon EC2 Image Builder,AWS CloudFormation,Amazon EC2 Amazon Machine Image (AMI),,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:38.477561
1347,"Which AWS service or feature helps restrict the AWS services. resources, and individual API actions the users and roles in each member account can access?",Amazon Cognito,AWS Organizations,AWS Shield,AWS Firewall Manager,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:38.738943
1348,Which amazon S3 storage class allows users to store data backups for long periods of time at the LOWEST cost?,S3 Standard -infrequent Access (S3 Standard IA),S3 Standard,S3 Glacier,S3 One Zone Infrequent Access (S3 One Zone IA),,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:39.095671
1349,Which AWS service would identify if unrestricted access to a resource has been allowed by a security group?,AWS Trusted Advisor,Amazon CloudWatch,VPC Flow Logs,AWS CloudTrail,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:39.499458
1350,AWS trusted advisor provides recommendations on which of the following?,Cost optimization,Auditing,Serverless architecture,Performance,,AD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:39.811018
1351,A company needs to transfer a large volume of data from an -on-premises data center to the AWS Cloud. The company's internet connectivity is slow and unreliable . Which AWS service can facilitate this data transfer?,Amazon S3 Glacier,AW5 Snowball,AWS Storage Gateway,Amazon Elastic File System (Amazon EFS),,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:40.111502
1352,A company wants to use an AWS service to continuously monitor the health of its application endpoints based on proximity to application users. The company also needs to route traffic to healthy Regional endpoints and to improve application availability and performance. Which service will meet these requirements?,Amazon Inspector,Amazon CloudWatch,AWS Global Accelerator,AWS Cloud Formation,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:40.417991
1353,Which pricing model will interrupt a running amazon EC2 instance if capacity becomes temporarily unavailable?,on-Demand Instances,Standard Reserved Instances,Spot Instances,Convertible Reserved Instances,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:40.729245
1354,Which AWS service will track user activity on AWS?,Amazon GuardDuty,AWS Trusted Advisor,AWS CloudTrail,Amazon CloudWatch,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:41.032048
1355,"Which Amazon S3 storage class is optimized to provide access to data with lower resiliency requirements, but rapid access when needed, such as duplicate backups?",Amazon S3 Standard,Amazon S3 Glacier Deep Archive,Amazon S3 One Zone-Infrequent Access,Amazon S3 Glacier,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:41.338771
1356,A company has a managed IAM policy that does not grant the necessary permission for users to accomplish required tasks. How can this be resolved?,Enable AWS Shield Advanced,Create a custom IAM policy,Use a third party web application firewall (WA( ) managed rule from the AWS Marketplace,Use AWS Key Management Service (AWS KMS) to create a customer managed key,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:41.646114
1357,Which AWS services offer compute capabilities?,Amazon FC2,Amazon S3,Amazon Elastic Block Store (Amazon EBS),Amazon Cognito,,AE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:41.951892
1358,When using Amazon RDS what is the customer responsible for?,Patching and maintenance of the underlying operating system,Managing automatic backups of the database,Controlling network access through security groups,Replacing failed instances in the event of a hardware failure,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:42.258553
1359,Which is a recommended pattern for designing a highly available architecture on AWS?,Ensure that components have low-latency network connectivity.,Run enough Amazon EC2 instances to operate at peak load.,Ensure that the application is designed to accommodate failure of any single component.,Use a monolithic application that handles all operations.,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:42.508040
1360,"A company that does business online needs to quickly deliver new functionality in an iterative manner, minimizing the time to market Which AWS Cloud feature can provide this?",Elasticity,High availability,Agility,Reliability,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:42.769102
1361,Which of the following are general AWS Cloud design principles described in the AWS Well- Architected Framework? (Select TWO.),Consolidate key components into monolithic architectures.,Test systems at production scale.,Provision more capacity than a workload is expected to need.,Drive architecture design based on data collected about the workload behavior and requirements.,,AB,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:43.075368
1362,Which of the following AWS features enables a user to launch a pre-configured Amazon Elastic Compute Cloud (Amazon EC2) instance?,Amazon Elastic Block Store (Amazon EBS),Amazon Machine Image,Amazon EC2 Systems Manager,Amazon AppStream 2.0,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:43.382729
1363,Which AWS Cloud service provides performance recommendations for an AWS account?,Amazon Inspector,AWS Trusted Advisor,Amazon CloudWatch,AWS CloudTrail,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:43.688306
1364,Which of the following are benefits of using the AWS Cloud? (Select TWO.),100% fault tolerance,Total control over underlying infrastructure,Fast provisioning of IT resources,Outsourcing all application coding to AWS,,BE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:43.995646
1365,Which tool should a developer use to integrate AWS service features directly into an application?,AWS Software Development Kit,AWS CodeDeploy,AWS Lambda,AWS Batch,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:44.301932
1366,Which tasks require the use of the AWS account root user? (Select TWO.),Launching a new Amazon EC2 instance,Viewing AWS CloudTrail logs,Contacting AWS Support,Sign up for GovCloud.,,DE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:44.711327
1367,Access keys in AWS Identity and Access Management (IM1) are used to:,log in to the AWS Management Console,make programmatic calls to AWS from AWS APIs,log in to Amazon EC2 instances,authenticate to AWS CodeCommit repositories,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:45.018966
1368,What are the immediate benefits of using the AWS Cloud? (Select TWO.),Increased IT staff,Capital expenses are replaced with variable expenses.,User control of infrastructure,Increased agility.,,BD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:45.324976
1369,How do Amazon EC2 Auto Scaling groups help achieve high availability for a web application?,They automatically add more instances across multiple AWS Regions based on global demand of the application,They automatically add or replace instances across multiple Availability Zones when the application needs it,They enable the application's stalk: content to reside closer to end users,They are able to distribute incoming requests across a tier of web server instances,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:45.631049
1370,A user must meet compliance and software licensing requirements that state a workload must be hosted on a physical server. When Amazon EC2 instance pricing option will meet these requirements?,Dedicated Hosts,Dedicated Instances,Spot Instances,Reserved Instances,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:45.938461
1371,What can users access from AWS Artifact?,AWS security and compliance documents,A download of configuration management details for all AWS resources,Training materials for AWS services,A security assessment of the applications deployed in the AWS Cloud,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:46.245940
1372,A company is planning to launch an ecommerce site in a single AWS Region to a worldwide user base Which AWS services will allow the company to reach users and provide low latency and high transfer speeds? (Select TWO.),Application Load Balancer,AWS Global Accelerator,AWS Direct Connect,Amazon CloudFront,,BD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:46.555383
1373,A company's security policy requires the company to keep a record of all changes that are made to Amazon EC2 security groups. The record must include information about who made the change and when the change was made. Which AWS service will provide this information?,AWS Lambda,Amazon CloudWatch,AWS WAF,AWS CloudTrail,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:46.860707
1374,Which design principles of the AWS Well-Architected Framework help increase reliability? (Select TWO.),Automatically recover from failure,Enable traceability.,Scale horizontally to increase workload availability.,Automate security best practices,,AC,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:47.167207
1375,Which actions allow a company's security team to improve the security procedures for employees accessing AWS resources? (Select TWO.),Create IAM users for groups of employees to share,Create IAM policies based on least privilege principles,Create IAM users in different Availability Zones,Enable multi-factor authentication for privileged users,,BD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:47.476509
1376,How can users protect against distributed denial of service (DDoS) attacks in the AWS Cloud?,Use Amazon CloudWatch monitoring.,Configure a firewall.,Use Amazon Redshift,Monitor AWS CloudTrail logging,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:47.731216
1377,What is an Availability Zone in AWS?,One or more physical data centers,A completely isolated geographic location,One or more edge locations based around the world,A data center location with a single source of power and networking,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:48.088500
1378,What is a responsibility of AWS in the shared responsibility model?,Updating the network ACLs to block traffic to vulnerable ports.,Patching operating systems running on Amazon EC2 instances.,Updating the firmware on the underlying EC2 hosts.,Updating the security group rules to block traffic to the vulnerable ports.,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:48.395709
